Key,Text,Note
fail,Fail,ui-3(ingame)
fail_nablaFalled,Nabla has Fallen!,실패1
fail_bearFalled,the Bear’ has Fallen!,실패2
fail_balloonLost,Lost the Balloon!,실패3
fail_crushed,Crushed under blocks!,실패4
fail_objective,Mission Objective not accomplished!,실패5
heart_charge,More Hearts?,
heart_lack,Need more Hearts!,입장권 부족
exitGame,Exit?,게임종료
,,
ad_description,10 hearts will be given.,광고 시청 시 혜택설명
,,
,,
,,
,,
exit_description,You are attempting to exit. Are you sure?,종료확인
,,
charBuy_confirm,Are you sure you want to buy {0}? (costs {1}Stars),캐릭터구매확인
,,
,,
charBuy_success,Successfully bought.,
charBuy_failed,You need more Stars.,
,,
heart_get,You have received {0} Hearts!,
ad_skipped,"You have received {0} Hearts, because the Ad was skipped.",
ad_failed,Failed to watch Ad.,
,,
Coin,Coin,블럭 이름들
Light,Light,
Medium,Medium,
Heavy,Heavy,
Balloon,Balloon,
Water,Water,
Barrel,Barrel,
Wood,Wood,
,,
,,
gameStart,Click to Start,ui-1(intro)
,,
level,Level,ui-2(main)
mission_desc,Mission Objective,ui-2(main)
item,Item,ui-2(main)
score,Score,ui-2(main)
ranking,Ranking,ui-2(main)
menu,Menu,ui-2(main)
continue,Continue,ui-2(main)
replay,Play Again?,ui-2(main)
stop,Stop,ui-2(main)
,,
moreHeart,Do you need more Heart?,ui-2(heart)
buyHeart,Buy Heart,ui-2(heart)
watchAd,Watch Ads,ui-2(heart)
,,
createdBy,Creators,ui-3(credit)
creators,"Jungsoo PARK, Jongwon LEE, Seungbeom JIN",ui-3(credit)
,,
,,
music,Music,ui-3(credit)
musicBy,http://www.littlerobotsoundfactory.com/,ui-3(credit)
,,
danger,Danger,ui-4(ingame)
tutorial_move,Move ‘the Bear’ left and right with the Stick!,
tutorial_touch,Push the Blocks by touching them!,
tutorial_balloon,Escape from the Nabla by catching the Balloon!,
,,
,,
,,
tip_ad,Tip: You can hearts by watching Ads.,
tip_star,Tip: You can get new characters with stars,
tip_water,Tip: Bear cannot move when ,
tip_barrel,Tip: Barrel block explodes when it is touched.,
tip_snow,Tip: Snow block melts when the character steps on it.,
tip_mine,Tip: Mine block destroys the whole row.,
tip_volcano,Tip: Volcano block is harmful.,
tip_weight,Tip: Each blocks have different weight.,
tip_mission,Tip: Check mission objectives before starting a stage.,
tip_score1,Tip: You receive higher score if you keep Nabla stable.,
tip_score2,Tip: You receive higher score if you break more blocks.,
tip_score3,Tip: You receive higher score if you get more coins.,
tip_rank,Tip: Ranking shows top percentage.,
tip_panda,Tip: Panda slows down Nabla from collapsing.,
tip_jelly,Tip: Jelly bear stops time for a few seconds.,
