Key,Text,Note
fail,실패,ui-3(ingame)
fail_nablaFalled,나블라가 무너졌어요!,실패1
fail_bearFalled,바닥으로 떨어졌어요!,실패2
fail_balloonLost,풍선을 놓쳤어요!,실패3
fail_crushed,블럭에 깔렸어요!,실패4
fail_objective,목표를 달성하지 못했어요!,실패5
heart_charge,하트 충전,하트 충전
heart_lack,하트가 부족해요!,입장권 부족
exitGame,종료하시겠습니까?,게임종료
,,
mission_special,한 번도 죽지 않고 최대한 많이 클리어 해보세요!,스페셜미션표시
special_description,금메달을 5개 획득하실 때 마다 스페셜 스테이지가 열립니다!,스페셜하트설명
share_special,스페셜 스테이지 기록 : (n) 스테이지,스페셜자랑내용
reward_special,200다이아가 지급됩니다!,스페셜자랑혜택
,,
,,
,,
ad_description,입장권이 10개 지급됩니다!,광고 시청 시 혜택설명
,,
share_default,금메달 수집률 : (n/m)*100 %,설정자랑내용
,,
,,
exit_description,게임을 종료하시겠습니까?,종료확인
,,
charBuy_confirm,{0}를 구매하시겠어요? (별 {1}개 소모),캐릭터구매확인
itemBuy_confirm,(아이템이미지x5)를 구매하시겠어요? 구매가격: (n)원,아이템구매확인
diaBuy_confirm,(다이아이미지x20)를 구매하시겠어요? 구매가격: (n)원,다이아구매확인
charBuy_success,구매 성공!,
charBuy_failed,별이 부족해요!,
,,
heart_get,하트를 {0}개 받았어요!,
ad_skipped,광고가 중단되어서 하트를 {0}개만 받았어요!,
ad_failed,광고를 보는 데 실패했어요!,
,,
Coin,코인,블럭 이름들
Light,가벼운 블럭,
Medium,중간 블럭,
Heavy,무거운 블럭,
Balloon,풍선,
Water,물 블럭,
Barrel,폭탄 블럭,
Wood,나무 블럭,
,,
,,
gameStart,시작하기,ui-1(intro)
,,
level,레벨,ui-2(main)
mission_desc,미션내용,ui-2(main)
item,아이템,ui-2(main)
score,획득 점수,ui-2(main)
ranking,랭킹,ui-2(main)
menu,메뉴,ui-2(main)
continue,계속하기,ui-2(main)
replay,다시하기,ui-2(main)
stop,그만하기,ui-2(main)
,,
moreHeart,하트를 더 모을래요?,ui-2(heart)
buyHeart,충전하기,ui-2(heart)
watchAd,광고보기,ui-2(heart)
,,
createdBy,제작,ui-3(credit)
creators,"박정수, 이종원, 진승범",ui-3(credit)
,,
,,
music,음악,ui-3(credit)
musicBy,http://www.littlerobotsoundfactory.com/,ui-3(credit)
,,
danger,위험,ui-4(ingame)
tutorial_move,스틱으로 ‘곰’을 좌우로 움직일 수 있어요!,
tutorial_touch,터치하여 블럭을 밀어내야해요!,
tutorial_balloon,풍선을 잡아 나블라를 탈출해야해요!,
,,
,,
tip_facebook,페이스북에 점수를 공유하면 하트를 받을 수 있어요,
tip_ad,광고를 시청하면 하트를 받을 수 있어요,
tip_star,스타를 모아서 캐릭터를 얻을 수 있어요,
tip_water,물 블럭에 캐릭터가 빠지면 움직일 수 없어요,
tip_barrel,드럼통 블럭은 양 옆 블럭과 함께 폭발해요,
tip_snow,눈 블럭을 밟으면 녹아 없어져요,
tip_volcano,용암 블럭에 닿으면 다쳐서 추락해요,
tip_space,자석 블럭은 주변 블럭을 고정해요,
tip_weight,각 블럭은 무게가 달라요,
tip_mission,스테이지 시작 전 미션내용을 확인하세요,
tip_score1,나블라의 균형을 유지할 수록 높은 점수를 획득해요,
tip_score2,블럭을 많이 깰 수록 높은 점수를 받을 수 있어요,
tip_score3,코인을 획득할수록 높은 점수를 받아요,
